LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,333,0,99.8,0.000,4.600,3.755,0.000,0.848,0.2526
0,332,2.6,99.8,0.000,4.400,3.576,0.000,0.836,NaN
0,318,1.4,99.6,0.000,4.400,3.643,0.000,0.836,0.2594
0,331,0.2,99.7,0.000,4.600,3.710,0.000,0.848,NaN
0,331,0,99.7,0.000,4.600,2.928,0.000,0.848,0.2154
0,331,0.2,99.7,0.000,4.600,2.146,0.000,0.848,NaN
0,331,0.2,99.7,0.000,4.700,3.152,0.000,0.854,NaN
0,331,0.2,99.7,0.000,4.800,4.157,0.000,0.860,NaN
0,330,0.6,99.7,0.000,4.800,4.090,0.000,0.860,NaN
0,331,0.6,99.6,0.000,4.900,4.023,0.000,0.866,NaN
0,334,0.8,99.5,0.000,4.800,3.822,0.000,0.860,NaN
0,335,1,99.5,0.000,4.800,3.621,0.000,0.860,NaN
0,337,1.4,99.5,0.000,5.000,4.001,0.000,0.872,NaN
0,338,1.6,99.5,0.000,4.900,4.381,0.000,0.866,NaN
0,340,0.4,99.5,0.000,4.800,4.225,0.000,0.860,NaN
0,338,0.2,99.4,0.000,4.800,4.068,0.000,0.860,NaN
0,339,0.4,99.4,0.000,4.800,4.381,0.000,0.860,NaN
0,334,0,99.4,2.000,4.800,4.694,0.000,0.860,0.3587
0,331,0,99.4,8.000,4.700,4.873,0.000,0.854,0.3869
0,330,0.2,99.4,11.000,4.500,5.052,0.000,0.842,NaN
0,330,0.6,99.4,19.000,4.400,4.605,0.000,0.836,NaN
0,332,1,99.4,21.000,4.400,4.157,0.000,0.836,NaN
0,331,0.6,99.4,27.000,4.500,4.381,0.000,0.842,NaN
0,331,0.6,99.4,45.000,4.600,4.605,0.000,0.848,NaN
0,332,0.8,99.4,65.000,4.700,4.984,0.000,0.854,NaN
0,331,0.4,99.3,47.000,4.600,5.364,0.000,0.848,NaN
0,331,2.2,99.2,44.000,4.500,5.052,0.000,0.842,NaN
0,331,3.2,99.2,37.000,4.400,4.739,0.000,0.836,NaN
0,330,0.2,99.2,30.000,4.500,5.923,0.000,0.842,NaN
0,329,0.6,99.2,34.000,4.400,7.108,0.000,0.836,NaN
0,327,1.4,99.2,16.000,4.000,7.242,0.000,0.813,NaN
0,329,2.4,99.2,14.000,3.700,7.376,0.000,0.796,NaN
0,329,2,99.1,24.000,3.600,7.354,0.000,0.791,NaN
0,328,0.2,99.1,30.000,3.600,7.331,0.000,0.791,NaN
0,332,0,99.2,34.000,3.500,6.437,0.000,0.785,0.4623
0,329,0,99.2,8.000,3.500,5.543,0.000,0.785,0.3624
0,324,0,99.3,1.000,3.500,5.387,0.000,0.785,0.3017
0,323,0,99.3,0.000,3.500,5.230,0.000,0.785,0.3404
0,322,0,99.4,0.000,3.600,5.499,0.000,0.791,0.2917
0,321,0,99.4,0.000,3.500,5.767,0.000,0.785,0.3510
0,320,0,99.4,0.000,3.400,5.476,0.000,0.779,0.3730
0,320,0,99.5,0.000,3.400,5.186,0.000,0.779,0.3226
0,320,0,99.5,0.000,3.400,5.163,0.000,0.779,0.3041
0,319,0.2,99.5,0.000,3.300,5.141,0.000,0.774,NaN
0,319,0,99.6,0.000,3.200,5.454,0.000,0.769,0.3053
0,318,0,99.6,0.000,3.100,5.767,0.000,0.763,0.2876
0,318,0,99.6,0.000,3.100,5.275,0.000,0.763,0.3341
0,318,0,99.7,0.000,3.100,4.783,0.000,0.763,0.3172
0,318,0,99.6,0.000,3.100,4.806,0.000,0.763,0.2551
0,318,0,99.6,0.000,3.000,4.828,0.000,0.758,0.3066
0,323,0,99.1,0.000,3.000,4.605,0.000,0.758,NaN
0,319,0,99.6,0.000,3.000,4.381,0.000,0.758,0.2583
0,319,0,99.6,0.000,3.000,4.180,0.000,0.758,0.2298
0,319,0,99.7,0.000,2.900,3.979,0.000,0.752,0.2195
0,319,0,99.7,0.000,2.800,3.867,0.000,0.747,0.2406
0,319,0,99.7,0.000,2.800,3.755,0.000,0.747,0.2274
0,319,0,99.7,0.000,2.700,3.621,0.000,0.742,0.2105
0,319,0,99.7,0.000,2.700,3.487,0.000,0.742,0.2069
0,319,0,99.6,0.000,2.700,3.509,0.000,0.742,0.2404
0,319,0,99.7,0.000,2.700,3.532,0.000,0.742,0.2400
0,319,0,99.7,0.000,2.700,3.599,0.000,0.742,0.1897
0,319,0,99.7,0.000,2.700,3.666,0.000,0.742,0.1897
0,319,0,99.7,0.000,2.700,3.666,0.000,0.742,0.1965
0,319,0,99.7,0.000,2.600,3.666,0.000,0.737,0.2010
0,319,0,99.7,0.000,2.600,3.666,0.000,0.737,0.2532
0,319,0,99.7,2.000,2.600,3.666,0.000,0.737,0.2768
0,320,0,99.8,8.000,2.700,3.688,0.000,0.742,0.2175
0,320,0,99.8,12.000,2.700,3.710,0.000,0.742,0.2049
0,320,0,99.9,22.000,2.800,3.733,0.000,0.747,0.1905
0,320,0,99.8,34.000,2.900,3.755,0.000,0.752,0.2287
0,320,0,99.9,41.000,2.900,3.956,0.000,0.752,0.2419
0,321,0,99.9,55.000,3.000,4.157,0.000,0.758,0.2890
0,321,0,99.8,59.000,3.100,3.912,0.000,0.763,0.3145
0,320,0,99.7,67.000,3.100,3.666,0.000,0.763,0.2820
0,320,0,99.7,46.000,3.200,3.196,0.000,0.769,0.2540
